n;k;m
1194;100;189
1195;100;182
1196;100;191
1197;100;180
1198;100;186
1199;100;173
1200;100;188
1201;100;187
1202;100;181
1203;100;194
1204;100;187
1205;100;188
1206;100;189
1207;100;189
1208;100;178
1209;100;184
1210;100;186
1211;100;181
1212;100;187
1213;100;189
1214;100;193
1215;100;185
1216;100;179
1217;100;185
1218;100;183
1219;100;189
1220;100;187
1221;100;184
1222;100;186
1223;100;186
1224;100;190
1225;100;178
1226;100;183
1227;100;182
1228;100;187
1229;100;192
1230;100;186
1231;100;179
1232;100;183
1233;100;182
1234;100;169
1235;100;183
1236;100;193
1237;100;186
1238;100;179
1239;100;182
1240;100;192
1241;100;181
1242;100;185
1243;100;184
1244;100;186
1245;100;188
1246;100;191
1247;100;179
1248;100;184
1249;100;187
1250;100;189
1251;100;190
1252;100;180
1253;100;189
1254;100;186
1255;100;188
1256;100;189
1257;100;191
1258;100;181
1259;100;185
1260;100;186
1261;100;189
1262;100;186
1263;100;186
1264;100;191
1265;100;189
1266;100;183
1267;100;187
1268;100;187
1269;100;192
1270;100;184
1271;100;186
1272;100;187
1273;100;185
1274;100;188
1275;100;185
1276;100;192
1277;100;187
1278;100;182
1279;100;187
1280;100;190
1281;100;192
1282;100;190
1283;100;186
1284;100;190
1285;100;185
1286;100;187
1287;100;180
1288;100;186
1289;100;189
1290;100;190
1291;100;200
1292;100;192
1293;100;184
1294;100;187
1295;100;192
1296;100;183
1297;100;192
1298;100;184
1299;100;190
1300;100;191
1301;100;181
1302;100;191
1303;100;188
1304;100;187
1305;100;189
1306;100;186
1307;100;186
1308;100;195
1309;100;184
1310;100;184
1311;100;188
1312;100;190
1313;100;185
1314;100;198
1315;100;193
1316;100;189
1317;100;183
1318;100;192
1319;100;194
1320;100;184
1321;100;184
1322;100;195
1323;100;185
1324;100;188
1325;100;200
1326;100;180
1327;100;192
1328;100;186
1329;100;188
1330;100;186
1331;100;182
1332;100;188
1333;100;186
1334;100;188
1335;100;194
1336;100;198
1337;100;190
1338;100;186
1339;100;193
1340;100;190
1341;100;197
1342;100;197
1343;100;187
1344;100;187
1345;100;185
1346;100;184
1347;100;187
1348;100;184
1349;100;192
1350;100;190
1351;100;199
1352;100;186
1353;100;194
1354;100;184
1355;100;186
1356;100;179
1357;100;188
1358;100;192
1359;100;186
1360;100;193
1361;100;189
1362;100;188
1363;100;183
1364;100;190
1365;100;187
1366;100;187
1367;100;188
1368;100;196
1369;100;191
1370;100;194
1371;100;191
1372;100;194
1373;100;184
1374;100;188
1375;100;179
1376;100;193
1377;100;187
1378;100;184
1379;100;188
1380;100;191
1381;100;192
1382;100;182
1383;100;184
1384;100;193
1385;100;190
1386;100;195
1387;100;193
1388;100;198
1389;100;187
1390;100;188
1391;100;195
1392;100;196
1393;100;198
1394;100;194
1395;100;194
1396;100;196
1397;100;190
1398;100;195
1399;100;193
1400;100;187
1401;100;195
1402;100;193
1403;100;191
1404;100;193
1405;100;188
1406;100;182
1407;100;190
1408;100;180
1409;100;187
1410;100;196
1411;100;184
1412;100;200
1413;100;191
1414;100;190
1415;100;186
1416;100;188
1417;100;193
1418;100;193
1419;100;194
1420;100;186
1421;100;194
1422;100;187
1423;100;191
1424;100;191
1425;100;190
1426;100;188
1427;100;191
1428;100;190
1429;100;203
1430;100;178
1431;100;197
1432;100;195
1433;100;187
1434;100;197
1435;100;199
1436;100;187
1437;100;199
1438;100;186
1439;100;194
1440;100;193
1441;100;190
1442;100;193
1443;100;192
1444;100;187
1445;100;189
1446;100;187
1447;100;190
1448;100;191
1449;100;189
1450;100;202
1451;100;184
1452;100;193
1453;100;189
1454;100;190
1455;100;208
1456;100;202
1457;100;187
1458;100;203
1459;100;195
1460;100;192
1461;100;197
1462;100;196
1463;100;191
1464;100;193
1465;100;195
1466;100;195
1467;100;197
1468;100;195
1469;100;204
1470;100;199
1471;100;197
1472;100;196
1473;100;197
1474;100;201
1475;100;191
1476;100;189
1477;100;197
1478;100;200
1479;100;189
1480;100;201
1481;100;194
1482;100;201
1483;100;192
1484;100;191
1485;100;188
1486;100;195
1487;100;194
1488;100;202
1489;100;193
1490;100;201
1491;100;197
1492;100;203
1493;100;193
1494;100;201
1495;100;192
1496;100;198
1497;100;192
1498;100;194
1499;100;188
1500;100;201
1501;100;189
1502;100;195
1503;100;197
1504;100;191
1505;100;198
1506;100;190
1507;100;195
1508;100;198
1509;100;195
1510;100;190
1511;100;205
1512;100;198
1513;100;198
1514;100;199
1515;100;196
1516;100;195
1517;100;192
1518;100;192
1519;100;202
1520;100;193
1521;100;199
1522;100;190
1523;100;194
1524;100;203
1525;100;194
1526;100;197
1527;100;198
1528;100;196
1529;100;193
1530;100;198
1531;100;200
1532;100;203
1533;100;189
1534;100;192
1535;100;193
1536;100;194
1537;100;194
1538;100;202
1539;100;194
1540;100;195
1541;100;192
1542;100;186
1543;100;190
1544;100;199
1545;100;190
1546;100;201
1547;100;204
1548;100;200
1549;100;202
1550;100;198
1551;100;192
1552;100;200
1553;100;197
1554;100;194
1555;100;194
1556;100;187
1557;100;197
1558;100;198
1559;100;194
1560;100;200
1561;100;201
1562;100;195
1563;100;208
1564;100;191
1565;100;199
1566;100;199
1567;100;192
1568;100;195
1569;100;200
1570;100;199
1571;100;200
1572;100;198
1573;100;203
1574;100;200
1575;100;187
1576;100;193
1577;100;199
1578;100;188
1579;100;194
1580;100;203
1581;100;207
1582;100;196
1583;100;196
1584;100;197
1585;100;198
1586;100;209
1587;100;194
1588;100;200
1589;100;202
1590;100;190
1591;100;198
1592;100;205
1593;100;197
1594;100;196
1595;100;202
1596;100;188
1597;100;200
1598;100;204
1599;100;205
1600;100;207
1601;100;200
1602;100;195
1603;100;196
1604;100;204
1605;100;193
1606;100;199
1607;100;198
1608;100;202
1609;100;190
1610;100;201
1611;100;199
1612;100;199
1613;100;200
1614;100;203
1615;100;200
1616;100;207
1617;100;193
1618;100;195
1619;100;200
1620;100;196
1621;100;195
1622;100;203
1623;100;192
1624;100;194
1625;100;196
1626;100;206
1627;100;201
1628;100;193
1629;100;199
1630;100;200
1631;100;209
1632;100;198
1633;100;203
1634;100;190
1635;100;194
1636;100;199
1637;100;207
1638;100;192
1639;100;196
1640;100;206
1641;100;194
1642;100;193
1643;100;204
1644;100;204
1645;100;197
1646;100;198
1647;100;206
1648;100;212
1649;100;201
1650;100;199
1651;100;206
1652;100;197
1653;100;198
1654;100;205
1655;100;210
1656;100;199
1657;100;199
1658;100;209
1659;100;203
1660;100;208
1661;100;203
1662;100;201
1663;100;197
1664;100;199
1665;100;201
1666;100;194
1667;100;196
1668;100;196
1669;100;199
1670;100;211
1671;100;197
1672;100;197
1673;100;198
1674;100;215
1675;100;206
1676;100;200
1677;100;197
1678;100;193
1679;100;199
1680;100;202
1681;100;206
1682;100;205
1683;100;200
1684;100;196
1685;100;213
1686;100;201
