n;k;m
1836;100;255
1837;100;255
1838;100;255
1839;100;255
1840;100;255
1841;100;255
1842;100;253
1843;100;255
1844;100;255
1845;100;255
1846;100;255
1847;100;255
1848;100;255
1849;100;255
1850;100;255
1851;100;255
1852;100;255
1853;100;255
1854;100;255
1855;100;255
1856;100;255
1857;100;255
1858;100;255
1859;100;255
1860;100;255
1861;100;255
1862;100;255
1863;100;255
1864;100;255
1865;100;255
1866;100;255
1867;100;255
1868;100;255
1869;100;255
1870;100;255
1871;100;255
1872;100;255
1873;100;255
1874;100;255
1875;100;255
1876;100;255
1877;100;255
1878;100;255
1879;100;255
1880;100;255
1881;100;255
1882;100;255
1883;100;255
1884;100;255
1885;100;255
1886;100;255
1887;100;255
1888;100;255
1889;100;255
1890;100;255
1891;100;255
1892;100;255
1893;100;255
1894;100;255
1895;100;255
1896;100;255
1897;100;255
1898;100;255
1899;100;255
1900;100;255
1901;100;255
1902;100;255
1903;100;255
1904;100;255
1905;100;255
1906;100;255
1907;100;255
1908;100;255
1909;100;253
1910;100;255
1911;100;255
1912;100;255
1913;100;255
1914;100;255
1915;100;255
1916;100;255
1917;100;255
1918;100;255
1919;100;255
1920;100;253
1921;100;255
1922;100;255
1923;100;255
1924;100;255
1925;100;255
1926;100;255
1927;100;255
1928;100;255
1929;100;255
1930;100;255
1931;100;255
1932;100;255
1933;100;255
1934;100;255
1935;100;255
1936;100;255
1937;100;255
1938;100;255
1939;100;255
1940;100;255
1941;100;255
1942;100;255
1943;100;255
1944;100;255
1945;100;255
1946;100;255
1947;100;255
1948;100;255
1949;100;255
1950;100;255
1951;100;255
1952;100;255
1953;100;255
1954;100;255
1955;100;255
1956;100;255
1957;100;255
1958;100;255
1959;100;255
1960;100;255
1961;100;255
1962;100;255
1963;100;255
1964;100;255
1965;100;255
1966;100;255
1967;100;255
1968;100;255
1969;100;255
1970;100;255
1971;100;255
1972;100;255
1973;100;255
1974;100;255
1975;100;255
1976;100;255
1977;100;255
1978;100;255
1979;100;255
1980;100;255
1981;100;255
1982;100;253
1983;100;255
1984;100;255
1985;100;255
1986;100;255
1987;100;255
1988;100;255
1989;100;255
1990;100;255
1991;100;255
1992;100;255
1993;100;255
1994;100;255
1995;100;255
1996;100;255
1997;100;255
1998;100;253
1999;100;255
2000;100;255
2001;100;255
2002;100;255
2003;100;255
2004;100;255
2005;100;255
2006;100;255
2007;100;255
2008;100;255
2009;100;255
2010;100;255
2011;100;255
2012;100;255
2013;100;255
2014;100;255
2015;100;255
2016;100;255
2017;100;255
2018;100;255
2019;100;255
2020;100;255
2021;100;255
2022;100;255
2023;100;255
2024;100;255
2025;100;255
2026;100;255
2027;100;255
2028;100;255
2029;100;255
2030;100;255
2031;100;255
2032;100;255
2033;100;255
2034;100;255
2035;100;255
2036;100;255
2037;100;255
2038;100;255
2039;100;255
2040;100;255
2041;100;255
2042;100;255
2043;100;255
2044;100;255
2045;100;255
2046;100;255
2047;100;255
2048;100;255
2049;100;255
2050;100;255
2051;100;255
2052;100;255
2053;100;255
2054;100;255
2055;100;255
2056;100;255
2057;100;255
2058;100;255
2059;100;255
2060;100;255
2061;100;255
2062;100;255
2063;100;255
2064;100;255
2065;100;255
2066;100;255
2067;100;255
2068;100;255
2069;100;255
2070;100;255
2071;100;255
2072;100;255
2073;100;255
2074;100;255
2075;100;255
2076;100;255
2077;100;255
2078;100;255
2079;100;255
2080;100;255
2081;100;255
2082;100;255
2083;100;255
2084;100;255
2085;100;255
2086;100;255
2087;100;255
2088;100;255
2089;100;255
2090;100;255
2091;100;255
2092;100;255
2093;100;255
2094;100;255
2095;100;255
2096;100;255
2097;100;255
2098;100;255
2099;100;255
2100;100;253
2101;100;255
2102;100;255
2103;100;255
2104;100;255
2105;100;255
2106;100;255
2107;100;255
2108;100;255
2109;100;255
2110;100;255
2111;100;255
2112;100;255
2113;100;255
2114;100;255
2115;100;255
2116;100;255
2117;100;255
2118;100;255
2119;100;255
2120;100;255
2121;100;255
2122;100;255
2123;100;255
2124;100;255
2125;100;255
2126;100;255
2127;100;255
2128;100;255
2129;100;255
2130;100;255
2131;100;255
2132;100;255
2133;100;255
2134;100;255
2135;100;255
2136;100;255
2137;100;255
2138;100;255
